Charging Station ID,Location,Date,Time,Energy Consumed (kWh),Vehicle Type,Charging Duration (hours),User Type,Power Source,Latitude,Longitude,Weather Condition,Maintenance Required
CS001,Connaught Place,01-04-2024,08:00 AM,25.6,Electric Car,2.5,Residential,Solar,28.6304,77.2177,Clear,Yes
CS002,South Extension,01-04-2024,12:30 PM,18.9,Hybrid Car,1.8,Commercial,Null,28.5645,77.2199,Rainy,No
CS003,Cyber Hub,02-04-2024,10:15 AM,30.2,Electric Car,3.2,Residential,Grid,28.4954,77.0888,Cloudy,Yes
CS004,Indira Gandhi Airport,03-04-2024,09:45 AM,22.1,Electric Car,2,Commercial,Solar,Null,Null,Null,No
CS005,DLF Cyber City,04-04-2024,03:20 PM,Null,Hybrid Car,1.5,Residential,Grid,28.4946,77.0881,Sunny,Yes
CS006,India Gate,05-04-2024,11:00 AM,28.8,Electric Car,3.5,Commercial,Solar,28.6129,77.2295,Foggy,No
CS007,Saket,06-04-2024,01:45 PM,20.3,Electric Car,2.2,Residential,Grid,28.5245,77.2066,Clear,Yes
CS008,Dwarka,07-04-2024,07:30 AM,12.6,Hybrid Car,1,Commercial,Null,28.5921,77.046,Rainy,No
CS009,Nehru Place,08-04-2024,10:00 AM,27.9,Electric Car,2.8,Residential,Grid,28.5477,77.2495,Cloudy,Yes
CS010,Janakpuri,09-04-2024,12:00 PM,19.7,Electric Car,1.9,Commercial,Solar,28.6264,77.087,Sunny,No
CS011,Rajpath,10-04-2024,04:30 PM,14.8,Hybrid Car,1.4,Residential,Grid,28.6149,77.209,Foggy,Yes
CS012,Okhla Industrial Area,11-04-2024,08:45 AM,32.5,Electric Car,3,Commercial,Solar,28.5273,77.2803,Clear,No
CS013,Hauz Khas,12-04-2024,02:15 PM,21.2,Electric Car,2.3,Residential,Grid,28.5535,77.1945,Rainy,Yes
CS014,Chandni Chowk,13-04-2024,11:30 AM,18.6,Hybrid Car,1.7,Commercial,Null,28.6562,77.2315,Cloudy,No
CS015,Greater Kailash,14-04-2024,09:00 AM,24.3,Electric Car,2.6,Residential,Grid,28.5355,77.2425,Sunny,Yes
CS016,Rohini,15-04-2024,01:00 PM,17.9,Electric Car,1.6,Commercial,Null,28.7113,77.1091,Foggy,No
CS017,Karol Bagh,16-04-2024,10:45 AM,26.8,Hybrid Car,2.7,Residential,Solar,28.646,77.1887,Clear,Yes
CS018,Lajpat Nagar,17-04-2024,03:45 PM,20.5,Electric Car,2.1,Commercial,Null,28.564,77.2408,Rainy,No
CS019,Mayur Vihar,18-04-2024,08:30 AM,15.9,Electric Car,1.2,Residential,Grid,28.6093,77.289,Sunny,Yes
CS020,Rohini,19-04-2024,11:15 AM,29.6,Hybrid Car,2.9,Commercial,Solar,28.7493,77.0326,Cloudy,No
CS021,Dwarka Sector 10,20-04-2024,09:00 AM,23.4,Electric Car,2.4,Residential,Null,28.5863,77.0459,Clear,Yes
CS022,INA Market,21-04-2024,12:45 PM,16.7,Electric Car,1.3,Commercial,Grid,28.577,77.2105,Rainy,No
