Charging Station ID,Location,Date,Uptime (%),Downtime (hours),Usage Patterns (%),Energy Consumed (kWh),Total Sessions,Average Session Duration (hours),Peak Usage Time,Peak Usage Count,Revenue Generated ($),Maintenance Required,Weather Condition,Temperature (°C),Humidity (%),Power Source
CS001,Connaught Place,45383,97.8,1.2,78.5,234.6,45,1.8,0.5,25,675,Yes,Clear,28,60,Solar
CS002,South Extension,45384,99.2,0.8,82.3,210.8,52,1.6,0.604166667,28,720,No,Rainy,26,75,Grid
CS003,Cyber Hub,45385,95.6,2.4,75.9,198.3,48,2.3,0.416666667,22,610,Yes,Cloudy,24,70,Solar
CS004,Indira Gandhi Airport,45386,98.5,1.5,80.2,185.7,50,2.1,0.489583333,20,600,No,Foggy,22,68,Grid
CS005,DLF Cyber City,45387,96.3,3.7,72.8,221.5,47,1.9,0.625,30,690,Yes,Sunny,30,55,Solar
CS006,India Gate,45388,99,1,85.6,240.9,55,2.2,0.552083333,35,730,Yes,Clear,32,62,Grid
CS007,Saket,45389,97.2,2.8,79.4,213.2,49,2.4,0.395833333,24,620,No,Rainy,25,80,Solar
CS008,Dwarka,45390,98.8,1.2,83.7,197.6,53,1.7,0.458333333,32,680,Yes,Cloudy,28,72,Grid
CS009,Nehru Place,45391,96.5,3.5,76.1,229.8,46,2.5,0.614583333,20,640,No,Foggy,23,65,Solar
CS010,Janakpuri,45392,99.4,0.6,81.9,204.4,48,1.8,0.4375,27,710,Yes,Clear,27,68,Grid
CS011,Rajpath,45393,97,3,74.3,216.3,50,2,0.53125,23,630,No,Rainy,26,75,Solar
CS012,Okhla Industrial Area,45394,98.2,1.8,77.8,191.2,52,2.3,0.375,28,670,Yes,Cloudy,25,70,Grid
CS013,Hauz Khas,45395,95.8,4.2,70.5,238.6,45,1.5,0.645833333,18,600,Yes,Sunny,29,60,Solar
CS014,Chandni Chowk,45396,98.6,1.4,84.2,203.9,48,2.2,0.541666667,25,690,No,Clear,30,55,Grid
CS015,Greater Kailash,45397,97.5,2.5,79.9,217.7,50,1.9,0.46875,31,720,Yes,Rainy,28,78,Solar
CS016,Rohini,45398,96.9,3.1,73.6,225.4,46,2.4,0.416666667,26,650,No,Foggy,24,72,Grid
CS017,Karol Bagh,45399,99.1,0.9,85.3,198.9,51,2.1,0.583333333,34,710,Yes,Sunny,31,58,Solar
CS018,Lajpat Nagar,45400,97.9,2.1,78.4,232.5,47,2.3,0.489583333,22,640,No,Clear,29,65,Grid
CS019,Mayur Vihar,45401,98.3,1.7,82.6,195.8,49,2,0.520833333,29,700,Yes,Rainy,27,70,Solar
CS020,Rohini,45402,95.6,4.4,75.8,221,44,1.7,0.65625,19,650,No,Cloudy,26,75,Grid
CS021,Dwarka Sector 10,45403,99.3,0.7,80.5,213.8,54,2.2,0.59375,32,720,Yes,Foggy,24,68,Solar
CS022,INA Market,45404,98,2,84.7,205.6,47,2.5,0.447916667,25,630,No,Sunny,30,55,Grid
CS023,Connaught Place,45405,97.1,2.9,77.2,227.3,52,2.1,0.5625,27,680,Yes,Rainy,26,80,Solar
CS024,South Extension,45406,96.8,3.2,72.4,233.9,49,2.3,0.5,30,700,No,Foggy,23,72,Grid
CS025,Cyber Hub,45407,99.5,0.5,86.3,199.5,55,1.8,0.395833333,33,710,Yes,Clear,28,68,Solar
CS026,Indira Gandhi Airport,45408,97.3,2.7,79.8,218.6,48,2.4,0.614583333,20,620,No,Rainy,25,75,Grid
CS027,DLF Cyber City,45409,98.7,1.3,83.1,207.4,50,2,0.46875,28,690,Yes,Cloudy,27,70,Solar
CS028,India Gate,45410,99.2,0.8,80.6,231,53,2.3,0.541666667,35,720,No,Sunny,32,62,Grid
CS029,Saket,45411,97.6,2.4,75.9,226.8,47,1.9,0.4375,22,660,Yes,Clear,29,60,Solar
CS030,Dwarka,45412,96.4,3.6,73.4,229.3,46,2.5,0.59375,19,630,No,Rainy,27,68,Grid
CS031,Nehru Place,45413,98.9,1.1,78.7,220.5,50,2.1,0.520833333,28,710,Yes,Cloudy,25,70,Solar
CS032,Janakpuri,45414,97.8,2.2,84.5,202.3,52,1.8,0.458333333,31,660,No,Foggy,24,75,Grid
CS033,Rajpath,45415,99,1,82.4,214.8,48,2.3,0.572916667,25,680,Yes,Sunny,30,58,Solar
CS034,Okhla Industrial Area,45416,98.2,1.8,77.3,227.5,51,2,0.40625,29,700,Yes,Clear,28,65,Grid
CS035,Hauz Khas,45417,96.7,3.3,74.1,235.1,46,2.2,0.625,20,640,No,Rainy,26,70,Solar
